City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Situation
151,Sokolovo,52.5318,84.7896,24.78,72,29,5.88,RU,scattered clouds
152,Qarqin,37.4185,66.0436,66.15,42,100,15.93,AF,overcast clouds
153,Ponta Do Sol,32.6667,-17.1,72.01,91,81,3.31,PT,broken clouds
154,Rocha,-34.4833,-54.3333,58.96,94,18,2.46,UY,few clouds
155,Tabas,33.5959,56.9244,73.62,23,91,4.61,IR,overcast clouds
156,Sovetskiy,61.3614,63.5842,29.73,95,86,8.95,RU,light snow
157,Tombouctou,20.0,-3.0,74.39,19,1,10.94,ML,clear sky
158,Gander,48.9682,-54.5906,46.53,70,40,16.11,CA,scattered clouds
159,Ous,60.9058,61.5186,31.55,91,99,8.52,RU,overcast clouds
160,Kodino,63.7198,39.6447,45.97,92,100,13.58,RU,light rain
161,Souillac,-20.5167,57.5167,70.18,88,75,3.44,MU,light intensity shower rain
162,Albany,42.6001,-73.9662,49.73,61,3,2.1,US,clear sky
163,Kutum,14.2,24.6667,70.23,27,73,10.67,SD,broken clouds
164,Khromtau,50.2503,58.4347,25.66,63,64,4.36,KZ,broken clouds
165,Sioux Lookout,50.1001,-91.917,42.87,87,40,0.0,CA,scattered clouds
166,Maniitsoq,65.4167,-52.9,31.3,91,100,14.67,GL,snow
167,Guatire,10.4762,-66.5427,72.43,98,100,3.18,VE,overcast clouds
168,Oistins,13.0667,-59.5333,80.69,83,40,16.11,BB,scattered clouds
169,Vestmannaeyjar,63.4427,-20.2734,44.38,80,99,18.97,IS,overcast clouds
170,Lakselv,70.0513,24.9718,30.02,93,92,13.8,NO,overcast clouds
171,Traiguen,-38.25,-72.6833,41.05,85,72,8.16,CL,broken clouds
172,Ginir,7.1333,40.7,55.02,73,94,3.0,ET,overcast clouds
173,Richards Bay,-28.783,32.0377,68.41,71,31,19.04,ZA,scattered clouds
174,Faya,18.3851,42.4509,57.31,70,79,2.98,SA,broken clouds
175,Muros,42.7762,-9.0603,57.09,91,98,10.42,ES,overcast clouds
176,Caravelas,-17.7125,-39.2481,76.17,84,1,10.96,BR,clear sky
177,Victoria,22.2855,114.1577,74.32,67,91,15.01,HK,overcast clouds
178,Villazon,-22.0866,-65.5942,53.98,27,1,6.02,BO,clear sky
179,Dom Pedro,-4.4833,-44.45,83.39,46,95,2.15,BR,overcast clouds
180,Santa Maria,-29.6842,-53.8069,79.9,57,20,5.75,BR,few clouds
181,Maldonado,-34.6667,-54.9167,64.22,95,23,3.13,UY,few clouds
182,Sankheda,22.1667,73.5833,71.38,43,0,2.91,IN,clear sky
183,Vardo,70.3705,31.1107,35.58,87,75,34.52,NO,broken clouds
184,Colares,38.7992,-9.4469,66.33,95,100,3.0,PT,overcast clouds
185,Dom Pedrito,-30.9828,-54.6731,73.15,80,9,4.41,BR,clear sky
186,Demirci,39.0461,28.6589,44.53,52,0,6.93,TR,clear sky
187,Abu Dhabi,24.4667,54.3667,80.62,78,0,4.61,AE,clear sky
188,Kumi,36.1136,128.336,51.48,78,11,1.28,KR,few clouds
189,Beloha,-25.1667,45.05,68.99,81,100,16.93,MG,overcast clouds
190,Malinovoye Ozero,51.6753,79.7825,28.2,59,99,8.23,RU,overcast clouds
191,Nargana,9.4428,-78.5906,80.13,76,77,6.24,PA,broken clouds
192,Quatre Cocos,-20.2078,57.7625,70.09,81,22,9.22,MU,few clouds
193,Havelock,34.8791,-76.9013,62.98,81,100,17.27,US,overcast clouds
194,Puri,19.8,85.85,66.72,68,0,8.63,IN,clear sky
195,Abengourou,6.7297,-3.4964,73.69,85,70,2.21,CI,broken clouds
196,Valdivia,-39.8142,-73.2459,50.09,67,12,6.49,CL,few clouds
197,Acurenam,1.0322,10.6488,66.74,99,73,1.88,GQ,broken clouds
198,Mogadishu,2.0371,45.3438,78.01,84,38,9.73,SO,scattered clouds
199,Marawi,7.9986,124.2928,76.37,72,99,6.73,PH,overcast clouds
200,Gobabis,-22.45,18.9667,77.61,23,100,4.61,NA,overcast clouds
201,Saint George,37.1041,-113.5841,70.39,20,0,3.44,US,clear sky
202,Mayen,50.3333,7.2167,61.61,77,94,3.89,DE,overcast clouds
203,Vila Velha,-20.3297,-40.2925,78.75,85,20,14.97,BR,few clouds
204,Carnarvon,-24.8667,113.6333,64.47,72,75,17.27,AU,broken clouds
205,Chimbote,-9.0853,-78.5783,62.17,84,75,8.03,PE,broken clouds
206,Margate,51.3813,1.3862,61.7,87,95,3.0,GB,overcast clouds
207,Kletnya,53.3897,33.2171,53.02,85,100,14.43,RU,overcast clouds
208,Antalaha,-14.9003,50.2788,68.45,84,2,4.74,MG,clear sky
209,Tokmak,47.2514,35.7058,52.59,80,100,15.35,UA,overcast clouds
210,Hazaribag,23.9833,85.35,58.51,64,0,3.36,IN,clear sky
211,Cartagena Del Chaira,1.3349,-74.8429,76.05,89,68,3.22,CO,broken clouds
212,Sao Felix Do Xingu,-6.6447,-51.995,79.2,67,99,1.07,BR,overcast clouds
213,Ilulissat,69.2167,-51.1,30.22,64,75,17.27,GL,broken clouds
214,Kincardine,56.0667,-3.7167,56.57,93,81,10.38,GB,broken clouds
215,Klaksvik,62.2266,-6.589,47.32,95,92,21.23,FO,overcast clouds
216,Nebbi,2.4783,31.0889,66.43,95,100,5.93,UG,moderate rain
217,Sao Joao Da Barra,-21.6403,-41.0511,77.09,88,91,20.89,BR,overcast clouds
218,Shubarkuduk,49.1447,56.4872,30.52,79,40,3.78,KZ,scattered clouds
219,Pizarro,4.9533,-77.366,76.1,89,86,4.5,CO,light rain
220,Svetlyy,54.675,20.1347,55.45,90,92,14.67,RU,overcast clouds
221,Itarema,-2.9248,-39.9167,78.84,80,62,20.67,BR,broken clouds
222,Padang,-0.9492,100.3543,75.25,86,95,2.1,ID,moderate rain
223,Raga,8.4596,25.678,73.29,50,100,2.95,SS,overcast clouds
224,Mehamn,71.0357,27.8492,33.75,69,75,19.57,NO,broken clouds
225,Pachino,36.7186,15.0907,66.4,73,0,9.19,IT,clear sky
226,Pokhara,28.2333,83.9833,60.62,53,0,5.97,NP,clear sky
227,Conde,-7.2597,-34.9075,76.46,83,20,8.05,BR,few clouds
228,Mahanoro,-19.9,48.8,70.09,88,98,4.14,MG,overcast clouds
229,Rodrigues Alves,-7.738,-72.6509,77.2,75,86,4.36,BR,light rain
230,Huallanca,-9.8993,-76.9417,48.96,70,52,3.69,PE,broken clouds
231,Diego De Almagro,-26.3667,-70.05,62.49,36,0,2.64,CL,clear sky
232,Kavaratti,10.5669,72.642,82.06,65,3,4.63,IN,clear sky
233,Maragogi,-9.0122,-35.2225,76.3,78,68,9.48,BR,broken clouds
234,Kamenka,51.3223,42.7678,44.11,96,99,17.36,RU,light rain
235,Bar Harbor,44.3876,-68.2039,51.03,83,0,6.91,US,clear sky
236,Kabinda,-6.1333,24.4833,66.0,95,99,3.74,CD,overcast clouds
237,Asmara,15.3333,38.9333,55.38,86,85,3.6,ER,overcast clouds
238,Gubin,51.9496,14.7284,59.29,83,99,4.41,PL,overcast clouds
239,Labelle,26.7617,-81.4384,82.42,67,47,10.47,US,scattered clouds
240,Bosaso,11.2842,49.1816,75.56,68,6,2.42,SO,clear sky
241,Necochea,-38.5473,-58.7368,53.06,65,50,9.53,AR,scattered clouds
242,Kangasala,61.4638,24.076,41.27,79,21,17.98,FI,few clouds
243,Presidencia Roque Saenz Pena,-26.7852,-60.4388,86.83,42,3,17.52,AR,clear sky
244,Jacareacanga,-6.2222,-57.7528,79.48,61,81,2.39,BR,broken clouds
245,Llanes,43.4198,-4.7549,64.17,83,100,11.92,ES,overcast clouds
246,Urucui,-7.2294,-44.5561,89.1,36,100,4.47,BR,overcast clouds
247,Puerto Quijarro,-17.7833,-57.7667,81.0,68,87,3.11,BO,overcast clouds
248,Najran,17.4924,44.1277,61.45,27,52,1.95,SA,broken clouds
249,Mazagao,-0.115,-51.2894,84.25,67,96,6.87,BR,overcast clouds
250,Mbandaka,0.0487,18.2603,71.64,95,100,1.86,CD,light rain
251,Mercedes,-34.6515,-59.4307,73.04,49,1,8.61,AR,clear sky
252,Parabel,58.6978,81.4825,22.06,90,23,6.4,RU,few clouds
253,Mulchen,-37.7167,-72.2333,43.65,94,93,6.64,CL,overcast clouds
254,Verkhnetulomskiy,68.6073,31.7962,33.93,75,100,18.25,RU,overcast clouds
255,Saldanha,-33.0117,17.9442,59.05,87,100,17.43,ZA,overcast clouds
256,Feijo,-8.1642,-70.3536,76.21,84,72,2.33,BR,broken clouds
257,Carutapera,-1.195,-46.02,79.66,82,54,10.92,BR,broken clouds
